Date,N225,STOXX50E,NDX,GSPC
2013-01-02,10672.173913043478,2699.5691147104503,2738.7644632526253,1456.2417810319712
2013-01-03,10672.173913043478,2695.0407711056946,2726.4261409127303,1453.3623591811686
2013-01-04,10672.173913043478,2698.8527932960887,2718.0972605439497,1460.564152673229
2013-01-07,10605.3,2686.2136488340193,2717.7864402578084,1456.0038999794197
2013-01-08,10501.35802469136,2686.7541333333334,2712.934659090909,1451.5616039254776
2013-01-09,10586.522842639592,2699.6578160717427,2722.478644829801,1455.7312516938323
2013-01-10,10648.0,2700.8664414414416,2737.368103137396,1466.3467553324185
2013-01-11,10805.121951219511,2710.8995098039222,2741.895097332372,1466.7364384211294
2013-01-14,10805.121951219511,2711.101025641025,2729.028151674327,1465.5225456621006
2013-01-15,10870.010582010582,2696.208333333333,2718.027777777778,1466.999671357872
2013-01-16,10610.048076923076,2699.036636136553,2728.8772684969754,1466.8085978557917
2013-01-17,10601.964285714286,2711.9996699125268,2743.970848056537,1476.7080710493185
2013-01-18,10892.815699658702,2703.4369696969698,2736.5397467195608,1480.359102506936
2013-01-21,10764.55938697318,2721.585396427452,2742.857142857143,1483.0091829085454
2013-01-22,10730.07722007722,2714.443889681408,2738.530112419701,1486.8488808890281
2013-01-23,10489.389830508477,2706.4102646868946,2755.953552631579,1489.6173495628327
2013-01-24,10620.13829787234,2721.9473684210525,2718.768298261665,1490.3280038372372
2013-01-25,10919.81308411215,2740.2507093635995,2731.298051567536,1497.6922406002395
2013-01-28,10829.669421487602,2745.746212121212,2736.813050660793,1495.8398322820685
2013-01-29,10859.816176470593,2749.622503840246,2738.9501614205005,1503.2483549400906
2013-01-30,11105.137254901963,2730.1572164948448,2731.990744069015,1496.9735076069007
2013-01-31,11120.180722891564,2710.5554053223527,2727.290782927468,1494.0871252144082
2013-02-01,11183.035714285714,2708.405795428308,2758.0680418719207,1508.4146743875503
2013-02-04,11255.78231292517,2628.421586127757,2709.9882857142857,1491.2388223764374
2013-02-05,11051.057062675398,2649.662706270627,2749.8067474048444,1506.486447266587
2013-02-06,11448.221614227085,2620.861882006984,2740.728629976581,1507.5041429985931
2013-02-07,11365.96153846154,2598.771815894147,2742.6078125,1505.4035659509202
2013-02-08,11150.14534883721,2626.7713317959065,2771.736668861093,1513.1832527410013
2013-02-11,11150.14534883721,2621.94189235516,2772.352577683616,1513.25362548287
2013-02-12,11373.783783783783,2645.6027666045325,2761.318347953217,1515.9540217101166
2013-02-13,11250.053475935827,2654.8509795448,2771.384797588287,1517.3437422050386
2013-02-14,11300.731707317073,2637.387425572712,2769.4873737373737,1518.6490876627618
2013-02-15,11184.33484162896,2615.616858448494,2761.400782997763,1516.4765345080764
2013-02-18,11400.616883116885,2615.427010414888,2764.6875,1517.9281798245609
2013-02-19,11370.75,2664.734781541483,2782.3263302364867,1528.4024227693274
2013-02-20,11460.9375,2642.5930039352866,2740.394222889921,1509.5183305482792
2013-02-21,11309.375,2578.7087970662233,2710.803547701303,1500.0862059746191
2013-02-22,11380.0,2628.9911309944273,2736.373541383989,1513.6570654972504
2013-02-25,11654.263959390864,2651.860367826979,2702.556420233463,1486.5105975735041
2013-02-26,11412.244250594766,2569.3158057915302,2713.440290178572,1495.7852243015366
2013-02-27,11265.897435897437,2611.467021748779,2741.8306932966025,1514.8979877503812
2013-02-28,11539.731051344743,2635.448101502879,2739.729077253219,1513.3755834564254
2013-03-01,11599.666666666664,2616.970872184173,2745.32315978456,1516.381064453321
2013-03-04,11581.052631578948,2623.533349003937,2757.991102756893,1523.8833195601044
2013-03-05,11620.5,2682.269842899682,2797.582106202588,1538.1088459435996
2013-03-06,11858.732394366201,2678.8616206175993,2792.548381294964,1540.4975806020425
2013-03-07,11896.17088607595,2687.368793413944,2801.538433908046,1544.0929164475167
2013-03-08,12214.734513274336,2726.71894807822,2803.678013392857,1550.0348796130224
2013-03-11,12289.473684210527,2655.5950551286332,2807.57280927835,1550.3156110246937
2013-03-12,12260.465631929046,2644.6040057224604,2795.8760989010993,1546.2942673054683
2013-03-13,12188.954703832751,2640.5791263405704,2792.800847457627,1548.4059034744955
2013-03-14,12319.41841680129,2675.700847457628,2800.584358186011,1556.1847029173666
2013-03-15,12470.027173913044,2658.5729735883424,2791.696536144578,1553.9846686026651
2013-03-18,12155.88628762542,2642.249861598081,2785.795900834561,1545.7219006556022
2013-03-19,12400.623655913978,2609.318258073536,2780.0373397435897,1542.1237517252578
2013-03-20,12400.623655913978,2645.182720327637,2798.9754360465117,1552.701112614229
2013-03-21,12556.028169014084,2617.10577823164,2768.373992673993,1539.3160546125885
2013-03-22,12300.103761348897,2618.9629408694354,2792.217825676526,1550.1149856817515
2013-03-25,12509.753846153846,2587.16999919048,2783.8893243243238,1545.781777060205
2013-03-26,12399.009584664536,2577.657264957265,2799.880835927079,1557.9790652505285
2013-03-27,12501.345852895149,2547.975315481687,2804.1798245614036,1556.9297193946982
2013-03-28,12361.214285714286,2554.4333982637136,2812.380978459292,1562.673899222285
2013-03-29,12409.422222222222,2554.4333982637136,2812.380978459292,1562.673899222285
2013-04-01,12159.927745664741,2554.4333982637136,2791.176534296029,1556.0558502576541
2013-04-02,12010.911392405063,2613.826524756091,2813.3398401826485,1564.0056036202254
2013-04-03,12349.978378378379,2576.649494127224,2788.445588235294,1548.1882373237818
2013-04-04,12638.063516653754,2558.3544277576384,2788.735828025477,1554.6374525236804
2013-04-05,12849.276910435496,2522.611481099334,2765.4759149623246,1547.284377574951
2013-04-08,13188.16605839416,2523.130137618916,2778.723422238918,1557.7156048014774
2013-04-09,13209.950980392156,2526.71062992126,2797.5808246901092,1563.3262887051376
2013-04-10,13292.666666666664,2597.948388470822,2852.835090909092,1582.5797400231827
2013-04-11,13510.637681159422,2617.4419662191426,2852.2305536684785,1588.1306516456152
2013-04-12,13480.28846153846,2573.2461013645225,2849.982108929703,1583.7021906052396
2013-04-15,13341.628498727738,2564.3702386523164,2793.088055222089,1547.9341591711466
2013-04-16,13258.613445378147,2554.9334233018444,2831.0538261997413,1569.5199049925486
2013-04-17,13379.494949494949,2496.559166789777,2776.1539647577088,1547.0656921010086
2013-04-18,13260.422960725076,2499.251549586777,2736.472699914016,1536.7058085681203
2013-04-19,13319.961389961392,2514.906820794482,2773.957632743363,1549.988558169307
2013-04-22,13569.262672811059,2524.8498062015506,2803.037160906726,1557.3753196276978
2013-04-23,13530.0,2607.6666377063425,2830.26970250522,1574.0012513255567
2013-04-24,13829.663865546221,2646.679666038244,2827.314653730345,1573.619659222925
2013-04-25,13937.777777777776,2649.887981627967,2842.5660303347277,1580.6908326287867
2013-04-26,13884.43864229765,2633.7075046904315,2835.369997078586,1578.086215482896
2013-04-29,13884.43864229765,2672.767293447293,2860.8120070977916,1588.340772711228
2013-04-30,13865.625,2669.321941597701,2880.593570882689,1591.7806717408002
2013-05-01,13811.975308641975,2669.321941597701,2867.362411660777,1577.8376005002679
2013-05-02,13683.333333333336,2683.994170762373,2905.023549641149,1592.705637406948
2013-05-03,13683.333333333336,2720.5758363104906,2938.605198358413,1609.297198934806
2013-05-06,13683.333333333336,2716.639952857985,2949.0725508317933,1612.7516438356165
2013-05-07,14171.388888888889,2734.0462563700507,2946.6712192474674,1621.278785351282
2013-05-08,14299.71649484536,2756.8034788245463,2962.421767028628,1628.7684474094
2013-05-09,14213.033395176253,2755.0779879530805,2956.782656312225,1623.1114743488138
2013-05-10,14602.075471698114,2759.677906857201,2977.27953539823,1629.7075598436734
2013-05-13,14789.61373390558,2756.327830765468,2980.3690041710115,1630.8518763796908
2013-05-14,14769.16890080429,2776.8686341798216,2995.183557242991,1647.7713074520307
2013-05-15,15100.658536585366,2791.2166012338757,3002.198357391737,1656.3311125037105
2013-05-16,15047.03819661866,2790.4898584003063,2998.970556161396,1648.7509227780474
2013-05-17,15129.986394557825,2805.297519741964,3026.9071028691387,1664.8464437636374
2013-05-20,15347.881705639616,2815.420004238187,3020.126164596273,1664.0175026295028
2013-05-21,15373.548387096775,2809.6136955107354,3026.3761376564275,1667.1568848373108
2013-05-22,15652.213822894168,2827.6053621371398,2997.431370070778,1652.892593097973
2013-05-23,14566.747987313976,2771.67893120724,2991.8327516531963,1649.1835047519849
2013-05-24,14605.468483816014,2761.7117980422468,2989.513734076433,1647.4714594261031
2013-05-27,14137.138749101367,2789.696969696969,3000.583333333333,1652.223996350365
2013-05-28,14305.344827586208,2837.5215594682,3011.8600039077764,1658.7685294198175
2013-05-29,14312.537688442211,2785.171138723813,2996.0642857142852,1647.253536904642
2013-05-30,13668.386479591836,2795.9366638026268,3012.4637007525453,1653.2074602466935
2013-05-31,13819.280089988752,2774.4287504820672,2985.876633855092,1630.4049066099785
2013-06-03,13287.210460772105,2745.639881752217,2988.8533184039093,1638.464539212562
2013-06-04,13548.22625698324,2753.034719834995,2973.047624053827,1629.8883579657004
2013-06-05,13049.240037071362,2711.1750355459108,2936.9723127035827,1607.376590625557
2013-06-06,12910.978260869566,2679.084354055928,2946.68956185567,1620.8226869934065
2013-06-07,12876.788990825691,2724.9691657271696,2989.4481412323885,1642.6148762168305
2013-06-10,13487.053921568628,2718.2208159866777,2988.5928278688525,1641.486600030834
2013-06-11,13343.709677419352,2684.858507616835,2959.714845109641,1625.3129754153229
2013-06-12,13285.5421686747,2669.329326642549,2926.074712643678,1611.9443733684836
2013-06-13,12451.724524076148,2663.928352952081,2963.560352725607,1636.5476772176917
2013-06-14,12655.144429160935,2667.302778269333,2943.3923556942277,1626.0428623452294
