Date,Open,Low,High,Close
2013-01-04,10750.016571064372,10650.0,10760.0,10672.173913043478
2013-01-07,10740.0,10580.0,10750.0,10605.3
2013-01-08,10541.425292632546,10460.0,10600.0,10501.35802469136
2013-01-09,10400.179880079946,10390.0,10630.0,10586.522842639592
2013-01-10,10643.741979061127,10620.0,10690.0,10648.0
2013-01-11,10809.353352670192,10740.0,10840.0,10805.121951219511
2013-01-15,10919.991344988748,10850.0,10960.0,10870.010582010582
2013-01-16,10807.545757071548,10580.0,10820.0,10610.048076923076
2013-01-17,10661.255186721992,10420.0,10700.0,10601.964285714286
2013-01-18,10847.661393758017,10800.0,10900.0,10892.815699658702
2013-01-21,10947.897151898736,10740.0,10950.0,10764.55938697318
2013-01-22,10769.237435008665,10600.0,10860.0,10730.07722007722
2013-01-23,10555.873198847265,10480.0,10660.0,10489.389830508477
2013-01-24,10447.069802164988,10430.0,10640.0,10620.13829787234
2013-01-25,10834.701773240191,10800.0,10920.0,10919.81308411215
2013-01-28,10999.826140314995,10820.0,11010.0,10829.669421487602
2013-01-29,10736.284664216506,10730.0,10940.0,10859.816176470593
2013-01-30,10918.378795676788,10900.0,11110.0,11105.137254901963
2013-01-31,11052.101524963442,11000.0,11150.0,11120.180722891564
2013-02-01,11183.909209666885,11130.0,11250.0,11183.035714285714
2013-02-04,11240.699787943047,11190.0,11290.0,11255.78231292517
2013-02-05,11098.284139402558,11040.0,11170.0,11051.057062675398
2013-02-06,11290.402140144975,11280.0,11510.0,11448.221614227085
2013-02-07,11360.732708089097,11290.0,11450.0,11365.96153846154
2013-02-08,11230.964569411171,11120.0,11300.0,11150.14534883721
2013-02-12,11418.270658682637,11370.0,11460.0,11373.783783783783
2013-02-13,11327.312252964426,11190.0,11370.0,11250.053475935827
2013-02-14,11270.426890756302,11240.0,11360.0,11300.731707317073
2013-02-15,11236.90590809628,11060.0,11270.0,11184.33484162896
2013-02-18,11329.700578428037,11320.0,11460.0,11400.616883116885
2013-02-19,11349.792626728113,11340.0,11420.0,11370.75
2013-02-20,11480.398108001576,11430.0,11510.0,11460.9375
2013-02-21,11409.930555555557,11290.0,11440.0,11309.375
