Date,Open,Low,High,Close
2013-01-02,2724.067636829581,2711.75,2742.5,2738.7644632526253
2013-01-03,2739.034280711207,2719.0,2747.0,2726.4261409127303
2013-01-04,2726.875713606089,2711.25,2728.75,2718.0972605439497
2013-01-07,2709.6390784982937,2702.5,2722.75,2717.7864402578084
2013-01-08,2719.258147853736,2698.5,2724.75,2712.934659090909
2013-01-09,2717.859129066107,2714.25,2730.25,2722.478644829801
2013-01-10,2741.7887961029924,2713.75,2743.5,2737.368103137396
2013-01-11,2738.191164495114,2732.25,2744.0,2741.895097332372
2013-01-14,2729.6177336276673,2719.25,2738.5,2729.028151674327
2013-01-15,2717.232556160653,2705.25,2721.25,2718.027777777778
2013-01-16,2721.644933554817,2715.75,2737.5,2728.8772684969754
2013-01-17,2740.2763868433967,2734.75,2752.0,2743.970848056537
2013-01-18,2729.722101370459,2722.5,2738.0,2736.5397467195608
2013-01-21,2734.843434343434,2734.25,2743.0,2742.857142857143
2013-01-22,2738.082701283547,2720.75,2741.5,2738.530112419701
2013-01-23,2755.013190335306,2750.25,2764.0,2755.953552631579
2013-01-24,2717.94224,2713.5,2743.0,2718.768298261665
2013-01-25,2725.1588682432434,2721.0,2739.5,2731.298051567536
2013-01-28,2731.8636486486485,2728.75,2747.5,2736.813050660793
2013-01-29,2732.845928529584,2716.25,2744.5,2738.9501614205005
2013-01-30,2743.0750695088045,2726.25,2751.75,2731.990744069015
2013-01-31,2731.10870556062,2724.0,2746.25,2727.290782927468
2013-02-01,2745.981893542757,2734.5,2764.0,2758.0680418719207
2013-02-04,2742.3770757654383,2709.25,2750.5,2709.9882857142857
2013-02-05,2720.873276852384,2715.75,2759.25,2749.8067474048444
2013-02-06,2741.1567164179105,2733.0,2753.75,2740.728629976581
2013-02-07,2743.2703518907565,2712.75,2746.5,2742.6078125
2013-02-08,2759.259187817259,2757.0,2778.5,2771.736668861093
2013-02-11,2773.5816326530608,2763.5,2775.0,2772.352577683616
2013-02-12,2768.731676136364,2758.75,2774.5,2761.318347953217
2013-02-13,2768.3457556935828,2762.75,2781.75,2771.384797588287
2013-02-14,2757.756171454219,2757.0,2775.0,2769.4873737373737
2013-02-15,2771.034789644013,2754.25,2776.75,2761.400782997763
2013-02-18,2762.7720588235293,2761.25,2765.0,2764.6875
2013-02-19,2769.8174662668666,2766.5,2783.25,2782.3263302364867
2013-02-20,2781.853019067797,2739.0,2783.0,2740.394222889921
2013-02-21,2729.2062831644957,2699.5,2731.75,2710.803547701303
2013-02-22,2725.411002548853,2714.25,2737.5,2736.373541383989
2013-02-25,2757.914097821619,2700.75,2764.5,2702.556420233463
2013-02-26,2707.978822589238,2689.0,2718.25,2713.440290178572
2013-02-27,2711.9542170698924,2709.25,2757.75,2741.8306932966025
2013-02-28,2742.842088998764,2736.5,2761.5,2739.729077253219
2013-03-01,2725.346374045801,2711.75,2751.5,2745.32315978456
2013-03-04,2737.7306366047746,2733.5,2759.0,2757.991102756893
